filepaths,quality,class
b r e a d \ b r e a d _ b a d \ 0 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 0 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 1 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 2 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 3 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 4 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 5 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 6 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 7 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 8 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 1 9 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 0 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 1 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 2 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 3 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 4 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 5 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 6 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 7 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 8 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 2 9 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 3 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 3 0 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 3 1 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 3 2 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 3 3 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 3 4 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 4 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 5 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 6 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 7 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 8 . j p g , 1 , 0

b r e a d \ b r e a d _ b a d \ 9 . j p g , 1 , 0

b r e a d \ b r e a d _ g o o d \ 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 0 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 1 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 2 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 3 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 4 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 5 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 6 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 7 . j p g , 0 , 0

b r e a d \ b r e a d _ g o o d \ 1 8 . j p g , 0 , 0

